station,popup,lat,lng
松山機場,10576臺北市松山區敦化北路338號,25.063718,121.549643
中山國中,10476臺北市中山區復興北路376號,25.0608313,121.544043
南京復興,10550臺北市松山區南京東路3段253號?,25.0520565,121.5445172
忠孝復興,文湖線：10654臺北市大安區忠孝東路3段302號,25.0414771,121.5434199
大安,文湖線：10683臺北市大安區信義路4段2號,25.0329282,121.543584
科技大樓,10667臺北市大安區復興南路2段235號,25.0261461,121.5436466
六張犁,10674臺北市大安區和平東路3段168號?,25.0238135,121.5531506
麟光,10676臺北市大安區和平東路3段410號,25.018567,121.5588356
辛亥,11694臺北市文山區辛亥路4段128號,25.0054756,121.5571067
萬芳醫院,11696臺北市文山區興隆路3段113號,24.9993857,121.5581518
萬芳社區,11653臺北市文山區萬芳路60號,24.9983539,121.5683772
木柵,11656臺北市文山區木柵路4段135號?,24.998241,121.5731452
動物園,11656臺北市文山區新光路2段32號,24.998173,121.5795002
大直,10465臺北市中山區北安路534之1號,25.0796581,121.5468824
劍南路,10464臺北市中山區北安路798號?,25.0847665,121.5550972
西湖,11493臺北市內湖區內湖路1段256號,25.081906,121.567597
港墘,11446臺北市內湖區內湖路1段663號,25.0801772,121.5756865
文德,11475臺北市內湖區文德路214號,25.0783742,121.5845868
內湖,11489臺北市內湖區成功路4段186號,25.0838996,121.5942576
大湖公園,11477臺北市內湖區成功路5段11號,25.0833383,121.6026639
葫洲,11486臺北市內湖區康寧路3段16號,25.0725219,121.6072978
東湖,11486臺北市內湖區康寧路3段235號,25.0671258,121.6117183
南港軟體園區,11568臺北市南港區經貿二路183號,25.0600356,121.6160813
南港展覽館,文湖線：11568臺北市南港區南港路1段32號,25.0554052,121.6178521
小碧潭,23150新北市新店區中央路151號4樓,24.9720931,121.5295777
新店,23152新北市新店區北宜路1段2號,24.9578555,121.5375837
新店區公所,23147新北市新店區北新路1段295號,24.967498,121.541192
七張,23143新北市新店區北新路2段150號?,24.9750109,121.54322
大坪林,23143新北市新店區北新路3段190號,24.9831,121.5418
景美,11674臺北市文山區羅斯福路6段216號,24.993206,121.540571
萬隆,11678臺北市文山區羅斯福路5段214號,25.0025772,121.5385812
公館,10091臺北市中正區羅斯福路4段64之1號B1,25.014589,121.534176
台電大樓,10089臺北市中正區羅斯福路3段126之5號B1,25.02072,121.527181
古亭,10084臺北市中正區羅斯福路2段164之1號B1?,25.0254891,121.5233805
中正紀念堂,10074臺北市中正區羅斯福路1段8之1號B1,25.0324224,121.5182695
小南門,10066臺北市中正區愛國西路22號B1,25.0352944,121.5109512
頂溪,3445新北市永和區永和路2段168號B1?,25.012836,121.5154203
永安市場,23574新北市中和區中和路388號,25.0023426,121.5109643
景安,23582新北市中和區景平路486號,24.9937247,121.5048049
南勢角,23566新北市中和區捷運路6號?,24.989714,121.509767
台大醫院,10048臺北市中正區公園路52號B1,25.041003,121.515715
台北車站,10041臺北市中正區忠孝西路1段49號,25.0460841,121.518607
中山,淡水信義線：10444臺北市中山區南京西路16號,25.0527143,121.520249
雙連,10354臺北市大同區民生西路47號,25.0578047,121.5206346
民權西路,10365臺北市大同區民權西路72號,25.0627315,121.5195329
圓山,10367臺北市大同區酒泉街9之1號,25.071353,121.520118
劍潭,11163臺北市士林區中山北路5段65號,25.084873,121.525078
士林,11163臺北市士林區福德路1號,25.093535,121.52623
芝山,1158臺北市士林區福國路70號?,25.1030599,121.522514
明德,11280臺北市北投區明德路95號?,25.109721,121.518848
石牌,11271臺北市北投區石牌路1段200號?,25.114523,121.515559
唭哩岸,11265臺北市北投區東華街2段301號,25.1208763,121.5062194
奇岩,11270臺北市北投區三合街2段489號,25.1260169,121.5010117
北投,11246臺北市北投區光明路1號?,25.13184,121.498632
新北投,11268臺北市北投區大業路700號?,25.1369329,121.50253
復興崗,11257臺北市北投區中央北路3段53巷10號?,25.1374736,121.485444
忠義,11257臺北市北投區中央北路4段301號,25.1310975,121.4732346
關渡,11259臺北市北投區大度路3段296巷51號,25.1256513,121.4671204
竹圍,25173新北市淡水區民權路50號,25.1369759,121.4595651
紅樹林,25173新北市淡水區中正東路2段68號?,25.1540421,121.4588718
淡水,25158新北市淡水區中正路1號,25.1748851,121.4327285
頂埔,23671新北市土城區中央路4段51之6號B3?,24.959332,121.4198624
永寧,23671新北市土城區中央路3段105號B1?,24.9667561,121.4364985
土城,23671新北市土城區金城路1段105號B1,24.973183,121.444156
海山,23660新北市土城區海山路39號B2?,25.0096482,121.4669823
亞東醫院,22060新北市板橋區南雅南路2段17號B1,24.9974796,121.4523829
府中,22055新北市板橋區縣民大道1段193號B1,25.0085549,121.459183
板橋,22041新北市板橋區站前路5號B1?,25.014579,121.4625101
新埔,22047新北市板橋區民生路3段2號B1?,25.0242359,121.468174
江子翠,22044新北市板橋區文化路2段296號B1,25.0296685,121.4723603
龍山寺,10855臺北市萬華區西園路1段153號,25.0354487,121.4995792
西門,10042臺北市中正區寶慶路32之1號B1?,25.0417459,121.508652
善導寺,10049臺北市中正區忠孝東路1段58號B1,25.0446975,121.5231142
忠孝新生,10652臺北市大安區新生南路1段67號,25.0420248,121.5331036
忠孝敦化,10686臺北市大安區忠孝東路4段182號?,25.0412864,121.5517221
國父紀念館,11072臺北市信義區忠孝東路4段400號,25.0411545,121.5580209
市政府,11071臺北市信義區忠孝東路5段2號,25.0409716,121.5651397
永春,11061臺北市信義區忠孝東路5段455號,25.041007,121.576419
後山埤,11575臺北市南港區忠孝東路6段2號,25.0452586,121.5829712
昆陽,11558臺北市南港區忠孝東路6段451號,25.0506011,121.5938363
南港,11561臺北市南港區忠孝東路7段380號?,25.0518018,121.6060457
象山,11080臺北市信義區信義路5段152號B1,25.0326708,121.5695364
台北101/世貿,11049臺北市信義區信義路5段20號B1,25.0327792,121.5636894
信義安和,10681臺北市大安區信義路4段212之1號B1,25.0335428,121.5439015
大安森林公園,10656臺北市大安區信義路3段100號B1,25.0333825,121.536211
北門,10341臺北市大同區塔城街10號,25.0495568,121.5101818
松江南京,10457臺北市中山區松江路126號B1,25.0526933,121.5327187
台北小巨蛋,10553臺北市松山區南京東路4段10之1號,25.051659,121.5518726
南京三民,10569臺北市松山區南京東路5段237號?,25.051652,121.564708
松山,10567臺北市松山區八德路4段742號,25.0498315,121.5774861
輔大,24205新北市新莊區中正路510之1號B1,25.032913,121.4353916
新莊,24243新北市新莊區中正路138號B1,25.0362728,121.452508
頭前庄,24251新北市新莊區思源路18號B1,25.0397749,121.4607719
先嗇宮,24158新北市三重區重新路5段515號B1?,25.0465799,121.47129
三重,24161新北市三重區捷運路36號B1,25.0557834,121.4844382
菜寮,24143新北市三重區重新路3段150號B1,25.0594539,121.491432
台北橋,24142新北市三重區重新路1段108號B1,25.063048,121.500932
大橋頭,10357臺北市大同區民權西路223號B1,25.0632032,121.5122844
中山國小,10452臺北市中山區民權東路1段71號B1,25.0617139,121.5236239
行天宮,10468臺北市中山區松江路316號B1?,25.0604614,121.53282
東門,10650臺北市大安區信義路2段166號B1?,25.0336009,121.5292686
蘆洲,24760新北市蘆洲區三民路386號B1?,25.0915536,121.4644714
三民高中,24760新北市蘆洲區三民路105號B1?,25.0855962,121.4729956
徐匯中學,24753新北市蘆洲區中山一路3號B1?,25.08035,121.479925
三和國中,24152新北市三重區三和路4段107號B1,25.0765639,121.4869523
三重國小,24149新北市三重區三和路3段5號B1?,25.0707326,121.4965537
迴龍,24257新北市新莊區中正路758號B1,25.0226916,121.4116015
丹鳳,24256新北市新莊區中正路624之1號B1,25.0415073,121.4652713
